"NR.CRT","Capitol","Subcapitol","Situația Clinică","Tip","Examen","Indicație","Grad Indicație","Comentarii","Alte informații","Doza Min","Doza Max"
788,"Aparat digestiv","Ficat, colecist şi pancreas","Caracterizarea unei leziuni hepatice descoperita accidental in examenul ecografic standard","M","IRM abdominal cu contrast paramagnetic injectat i.v.","Doar cu aviz specializat","B","Evaluarea IRM cu contrast paramagnetic extracelular inj.i.v. reprezinta si ea o alternativa de diagnostic imagistic neinvaziv, neiradiant in caracterizarea leziunilor focale hepatice decoperite accidental in examinarea ecografica de rutina. Utilizarea in IRM a contrastului cu specificitate celulara (Gd-EOB-DTPA- Acidum Gadoxeticum) amelioreaza performantele diagnostice permitand delimitarea granitei dintre leziuni tumorale benigne hepatice si cele maligne anaplazice sau nonhepatocitare, oferind totodata si detalii functionale","IRM permite in cazul leziunilor benigne hepatice departajarea cu certitudine intre chistul biliar, hemangiom si hiperplazia nodulara focala (HNF), afirmarea unor adenoame infiltrate lipomatos sau a steatozei hepatice in harta geografica cu insule de parenchim hepatic indem incluse. In caracterizarea leziunilor de tip hemangiom intr-un ficat cirotic sau steatozic se recomanda utilizarea contrastului paramagnetic Gd-BOPTA (Multihance), iar pentru diagnosticul pozitiv al HNF se recomanda utilizarea contrastului specific hepatocitar (Acidum Gadoxeticum-Primovist). Faza hepatobiliara realizata la 20 de min de la injectare in corelatie cu examinarea postcontrast 3D T1 FS in mod dinamic, multifazica, in ponderatie de difuzie, T2 fara si cu supresia grasimii, T1 cu TE in faza si in opozitie de faza, T2 EG sunt esentiale in diagnosticul diferential dintre leziunile hepatice benigne si cele maligne",0,0
789,"Aparat digestiv","Ficat, colecist şi pancreas","Caracterizarea unei leziuni hepatice descoperita accidental in examenul ecografic standard","T","CT abdominal cu contrast injectat iv","Doar cu aviz specializat","B","CT este este o examinare neinvaziva dar iradianta, accesibila si cu o rezolutie spatiala optima, indicata in caracterizarea unei leziuni hepatice, dar performantele diagnostice ale CT abdominal sunt inferioare examinării IRM, in particular ale examinarii prin RM cu contrast specific celular; ","Examinarea CT presupune evaluarea abdomenului fara si cu contast iodat non-ionic inj.i.v., in achizitie dinamica multifazica (in faza arteriala, portala si tardiva)",3,4
790,"Aparat digestiv","Ficat, colecist şi pancreas","Cholangiocarcinom și cancer al colecistului","E","Ecografie","Indicat","B","Utilă în diagnosticul inițial și în bilanțul lezional local.",,0,0
791,"Aparat digestiv","Ficat, colecist şi pancreas","Cholangiocarcinom și cancer al colecistului","M","IRM abdominală","Indicat","B","Utilă în bilanțul extensiei locale și hepatice; extensia longitudinală stabilește indicația terapeutică, chirurgicală, endoprotezare endoscopcă, drenaj biliar.","Evaluarea IRM este metoda de electie in caracterizarea si stadializarea colangiocarcinomului (varianta intrahepatica si cea care implica CB mari) precum si in evaluarea preterapeutica a cancerului vezicular biliar",0,0
792,"Aparat digestiv","Ficat, colecist şi pancreas","Cholangiocarcinom și cancer al colecistului","T","CT abdominal","Indicat","B","Util în diagnosticul leziunii tumorale biliare, precum și în bilanțul extensiei locale și la distanță",,3,4
793,"Aparat digestiv","Ficat, colecist şi pancreas","Cholangiocarcinom și cancer al colecistului","N","PET-CT (F18-FDG)","Doar în cazuri particulare","B","PET-CT cu F18-FDG. Bilanțul pacienților cu indicație operatorie sau după descoperirea unui cancer al colecistului la examen histologic postoperator pentru decizia asupra unei eventuale reintervenții.",,3,4
794,"Aparat digestiv","Ficat, colecist şi pancreas","Cholangiocarcinom și cancer al colecistului","I","Biopsie ghidată imagistic","Doar cu aviz specializat","B","Pentru colangiocarcinomul intrahepatic sau cancerul de veziculă biliară  avansat local/ inoperabil","Biliary cancer: ESMO Clinical Practice Guidelines for diagnosis, treatment and follow-up. Ann Oncol (2016) 27 (suppl 5): v28-v37",3,4
795,"Aparat digestiv","Ficat, colecist şi pancreas","Cholangiocarcinom și cancer al colecistului","I","Biopsie ghidată imagistic","Doar cu aviz specializat","B","Pentru colangiocarcinomul intrahepatic sau cancerul de veziculă biliară  avansat local/ inoperabil","Biliary cancer: ESMO Clinical Practice Guidelines for diagnosis, treatment and follow-up. Ann Oncol (2016) 27 (suppl 5): v28-v37",3,4
796,"Aparat digestiv","Ficat, colecist şi pancreas","Cholangiocarcinom și cancer al colecistului","I","Biopsie ghidată imagistic","Doar cu aviz specializat","B","Pentru colangiocarcinomul intrahepatic sau cancerul de veziculă biliară  avansat local/ inoperabil","RI - PC6",3,4
797,"Aparat digestiv","Ficat, colecist şi pancreas","Cholangiocarcinom și cancer al colecistului","I","Drenaj biliar extern, intern si endoprotezare percutană","Doar cu aviz specializat","B","Metode indicate pentru reducerea icterului, în cadrul managementului bolii local avansate, inoperabile","Biliary cancer: ESMO Clinical Practice Guidelines for diagnosis, treatment and follow-up. Ann Oncol (2016) 27 (suppl 5): v28-v37",3,4
798,"Aparat digestiv","Ficat, colecist şi pancreas","Cholangiocarcinom și cancer al colecistului","I","Drenaj biliar extern, intern si endoprotezare percutană","Doar cu aviz specializat","B","Metode indicate pentru reducerea icterului, în cadrul managementului bolii local avansate, inoperabile","Biliary cancer: ESMO Clinical Practice Guidelines for diagnosis, treatment and follow-up. Ann Oncol (2016) 27 (suppl 5): v28-v37",3,4
799,"Aparat digestiv","Ficat, colecist şi pancreas","Cholangiocarcinom și cancer al colecistului","I","Drenaj biliar extern, intern si endoprotezare percutană","Doar cu aviz specializat","B","Metode indicate pentru reducerea icterului, în cadrul managementului bolii local avansate, inoperabile","RI - PC4",3,4
800,"Aparat digestiv","Ficat, colecist şi pancreas","Cholangiocarcinom și cancer al colecistului","I","Radioembolizare cu microsfere Y-90","Doar cu aviz specializat","B","Pentru colangiocarcinomul intrahepatic  avansat local sau metastatic","Biliary cancer: ESMO Clinical Practice Guidelines for diagnosis, treatment and follow-up. Ann Oncol (2016) 27 (suppl 5): v28-v37",3,4
801,"Aparat digestiv","Ficat, colecist şi pancreas","Cholangiocarcinom și cancer al colecistului","I","Radioembolizare cu microsfere Y-90","Doar cu aviz specializat","B","Pentru colangiocarcinomul intrahepatic  avansat local sau metastatic","Biliary cancer: ESMO Clinical Practice Guidelines for diagnosis, treatment and follow-up. Ann Oncol (2016) 27 (suppl 5): v28-v37",3,4
802,"Aparat digestiv","Ficat, colecist şi pancreas","Cholangiocarcinom și cancer al colecistului","I","Radioembolizare cu microsfere Y-90","Doar cu aviz specializat","B","Pentru colangiocarcinomul intrahepatic  avansat local sau metastatic","RI - PB6",3,4
803,"Aparat digestiv","Ficat, colecist şi pancreas","Ciroză hepatica. Caracterizarea unui nodul hepatic","E","Ecografie abdominala si eco Doppler","Indicat","A","Ecografia (utrasonografia-US) hepatica si evaluarea eco Doppler au un rol important in depistarea carcinomului hepatocelular, in caracterizarea unui nodul hepatic si in evaluarea sistemului port, a venelor hepatice, VCI si a arterei hepatice. In cazurile in care examinarea eco este negativa (US-1) adica nu se individualizeaza leziunihepatice suspecte, monitorizarea se va face la 6 luni. Daca leziunea este cu dimensiuni sub 10 mm si/sau aspectul nodulului hepatic nu prezinta caractere tipice de benignitate (US-2) evaluarea ecografica se repeta la 3-6 luni. Pentru leziunile cu dimensiuni egale sau mai mari de 10 mm cu caractere incerte de benignitate sau care asociaza tromboza venoasa nou aparuta (US-3), se recomanda in completare evaluare ecografica multifazica cu contrast inj.i.v, sau evaluare IRM multifazica cu contrast inj.i.v.sau evaluare CT multifazica cu contrast inj.i.v.","Atentie la aspectul ecografic global al parenchimului hepatic. Aspect omogen (scor US-A: fara limitari); aspect partial heterogen ce poate duce la mascarea unor leziuni hepatice de mici dimensiuni si la imposibilitatea analizei unor arii din parenchimul hepatic sau diafragm (scor US-B: limitari moderate); aspect iintens heterogen, peste 50% din ficat nonvizualizabil sau peste 50% din diafragm non-vizualizabil (scor US-C: limitari majore)",0,0
804,"Aparat digestiv","Ficat, colecist şi pancreas","Ciroză hepatica. Caracterizarea unui nodul hepatic","M","IRM abdominal cu contrast, de preferat contrast specific celular","Indicat","A","Examen de referinta, cu indicatie de electie in caracterizarea unui nodul hepatic nou aparut intr-un ficat cirotic descoperit printr-o evaluare ecografică de supraveghere. IRM reprezinta cea mai performanta metoda de diagnostic imagistic neinvaziv in caracterizarea nodulilor din ficatul cirotic.","Aparat IRM de 1.5 sau 3 T; antena in retea fazata. IRM multiparametrica are rol in caracterizare, detectia altor leziuni, in evaluarea pre-/ si postterapeutica a nodulului/nodulilor tumorali (postchirurgicala, post proceduri de radiologie interventionala, post tratament oncologic).IRM permite cuantificarea patologiilor de depozit, a gradului de fibroza hepatica si obtinerea de date functionale atunci cand se utilizeaza contrastul specific hepatocitar. In cazurile in care examinarea IRM este neconcludenta (pacient neccoperant), se indica examinare CT cu contrast inj. i.v.",0,0
805,"Aparat digestiv","Ficat, colecist şi pancreas","Ciroză hepatica. Caracterizarea unui nodul hepatic","T","CT abdominal cu contrast","Indicat","B","CT este indicata in cazurile in care examinarea IRM este neconcludenta, contraindicata, sau nerealizabila datorita conditiei clinice alterate a pacientului, pentru caracterizarea unui nodul hepatic nou aparut intr-un ficat cirotic descoperit printr-o evaluare ecografică de supraveghere. Obligatoriu se realizeaza un pasaj CT fara contrast urmat de o examinarea CT multislice dinamica cu contrast in faze multiple (timp arterial tardiv, portal si faza tardiva) cu reconstructii multiplanare in plan coronal si /sau coronal oblic. CT permite monitorizarea raspunsului posterapeutic (postchirurgical, postproceduri de radiologie interventionala, posttratament oncologic)","CT multislice fara si cu contrast inj.i.v. : depistarea, confirmarea si caracterizarea unui nodul/unor noduli suspect (i) ecografic; bilantul hipertensiunii portale. Detectia trombozei de vena porta si a variantelor anatomice din circulatia arteriala, portala si a venelor hepatice. Detectia sangerarii intratumorale sau a hemoperitoneului. detectia altor leziuni descoperite incidental in etajul abdominal.",3,4
806,"Aparat digestiv","Ficat, colecist şi pancreas","Ciroză hepatica. Caracterizarea unui nodul hepatic","E","Ecografie hepatica cu contrast","Doar în cazuri particulare","B","Utila atunci cand evaluarea IRM este neconcludenta sau contraindicata, in caracterizarea unui nodul hepatic nou aparut intr-un ficat cirotic descoperit printr-o evaluare ecografică de supraveghere",,0,0
807,"Aparat digestiv","Ficat, colecist şi pancreas","Ciroză hepatica. Caracterizarea unui nodul hepatic","N","PET-CT (F18-cholina)","Doar cu aviz specializat","B","PET-CT cu cholina este indicata in caracterizarea unui nodul hepatic tip carcinom hepatocelular bine diferentiat. PET-CT cu F18-FDG este utila pentru evaluarea determinarilor secundare sau a unui neoplasm de cai biliare la subiectii cu risc crescut, de exemplu intr-un context de colangita sclerozanta.",,3,4
808,"Aparat digestiv","Ficat, colecist şi pancreas","Colecistită acută","I","Colecistostomie percutană","Doar în cazuri particulare","B","Este utilă în diagnosticul anumitor colecistite alitiazice. Drenajul este indicat la pacienţii fragili. Colecistectomia este discutată în al doilea plan.","RI - PC3",3,4
809,"Aparat digestiv","Ficat, colecist şi pancreas","Detectia unei leziuni hepatice de tip primar/secundar","E","Ecografie abdominala","Indicat","A","Ecografia abdominala reprezinta examenul de prima intentie in evaluarea parenchimului hepatic, in cazurile in care exista suspiciunea clinica de tumora hepatica sau in contextul unui pacient oncologic.","Metoda imagistica neinvaziva, neiradianta, repetabila in timp, operator si pacient dependenta. Sub ghidaj ecografic in cazul nodulilor hepatici cu substrat incert se pot realiza punctii biopsii diagnostice",0,0
810,"Aparat digestiv","Ficat, colecist şi pancreas","Hepatocarciom","I","Chemoembolizare intraarterială","Doar cu aviz specializat","A","Pentru hepatocarcinomul clasificat BCLC B","Hepatocellular carcinoma: ESMO Clinical Practice Guidelines for diagnosis, treatment and follow-up - Ann Oncol (2018) 29 (suppl 4): iv328-iv255",3,4
811,"Aparat digestiv","Ficat, colecist şi pancreas","Hepatocarciom","I","Chemoembolizare intraarterială","Doar cu aviz specializat","A","Pentru hepatocarcinomul clasificat BCLC B","RI - PB6",2,3
812,"Aparat digestiv","Ficat, colecist şi pancreas","Hepatopatie cronica difuza","I","Biopsie hepatica transjugulara","Doar în cazuri particulare","?","La pacienti cu hepatopatii cronice, cu coagulopatii.","RI - PC6",2,3
813,"Aparat digestiv","Ficat, colecist şi pancreas","Icter","E","Ecografie","Indicat","B","Ecografia este un examen de prima intenție, fiind o explorare de referință pentru a stabili existența unei dilatații de căi biliare, precum și pentru a evidenția locul unui eventual obstacol biliar. Ecografia permite totodată eventuala orientare către explorări suplimentare în stabilirea diagnosticului.",,0,0
814,"Aparat digestiv","Ficat, colecist şi pancreas","Icter","D","Echoendoscopia","Doar în cazuri particulare","B","Metodă foarte eficientă pentru evaluarea obstacolelor biliare jos situate și de dimensiuni mici (ampulom, cancer pancreatic mic, litiază coledociană), mai ales în condițiile unui examen IRM neconcludent (deși mai puțin invaziv). Permite totodată și un diagnostic histologic dacă este asociată cu o biopsie.",,0,0
815,"Aparat digestiv","Ficat, colecist şi pancreas","Icter","I","ERCP","Doar în cazuri particulare","B","Utilă când se efectuează cu scop terapeutic (sfincterotomie, montare de proteză, extracție de calcul). Indicaţiile în scop pur diagnostic au devenit excepţionale, având în vedere performanțele diagnostice ale cholangio-IRM-ului și/sau ale echoendoscopiei (aproape întotdeauna realizate înaintea ERCP).",,3,3
